name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
USDD,$0.9993,0.08,0.0,0.1,"$737,574,342","$18,072,711","738,574,277",https://coinmarketcap.com/currencies/usdd/?period=7d,7380.91
Injective,$8.77,0.82,0.24,26.7,"$701,024,247","$56,233,850","80,005,555",https://coinmarketcap.com/currencies/injective/?period=7d,21342471.37
eCash,$0.0...03601,-0.94,-3.27,52.64,"$699,679,245","$154,361,074","19,432,423,423,293",https://coinmarketcap.com/currencies/ecash/?period=7d,10228024.29
Neo,$9.55,-0.38,-2.51,7.76,"$675,453,995","$54,193,916","70,538,831",https://coinmarketcap.com/currencies/neo/?period=7d,5488505.76
Curve DAO Token,$0.7726,0.64,-0.17,11.77,"$669,154,544","$27,613,086","866,996,559",https://coinmarketcap.com/currencies/curve-dao-token/?period=7d,1019408.36
KuCoin Token,$6.74,0.36,1.41,1.35,"$651,926,224","$1,626,659","96,794,195",https://coinmarketcap.com/currencies/kucoin-token/?period=7d,1305786.95
Synthetix,$2.34,-0.02,2.86,8.54,"$617,751,875","$46,111,948","264,400,311",https://coinmarketcap.com/currencies/synthetix/?period=7d,22545303.47
Pepe,$0.0...00157,-0.77,1.39,1.78,"$617,537,287","$105,428,163","391,790,000,000,000",https://coinmarketcap.com/currencies/pepe/?period=7d,7001378.16
Conflux,$0.2037,-0.19,-1.49,-10.01,"$610,373,487","$60,621,292","2,979,621,110",https://coinmarketcap.com/currencies/conflux-network/?period=7d,-2999429.85
Kava,$0.9537,0.16,0.9,-8.75,"$580,096,578","$16,881,162","605,374,838",https://coinmarketcap.com/currencies/kava/?period=7d,-532226.6
Gemini Dollar,$0.9981,0.14,-0.15,-0.27,"$564,982,675","$502,696","566,230,295",https://coinmarketcap.com/currencies/gemini-dollar/?period=7d,-15283.57
Chiliz,$0.07792,0.17,-1.91,0.21,"$549,759,649","$25,738,531","7,024,695,758",https://coinmarketcap.com/currencies/chiliz/?period=7d,14816.42
Gala,$0.02527,0.84,0.07,-3.09,"$547,124,469","$53,700,294","21,624,341,073",https://coinmarketcap.com/currencies/gala/?period=7d,-669020.42
Zcash,$33.16,0.96,-1.44,9.53,"$541,441,849","$22,504,772","16,328,269",https://coinmarketcap.com/currencies/zcash/?period=7d,1556073.83
